id,name,age,gender,phone_number
1,Sitora,21,Ayol,9.98972E+11
2,Sardor,37,Erkak,9.98908E+11
3,Ali,61,Erkak,9.98335E+11
4,Sardor,49,Erkak,9.98909E+11
5,Nigora,65,Ayol,9.98332E+11
6,Sherzod,43,Erkak,9.98908E+11
7,Sitora,62,Ayol,9.9898E+11
8,Ulug'bek,29,Erkak,9.98906E+11
9,Shahnoza,65,Ayol,9.98337E+11
10,Dilnoza,55,Ayol,9.98332E+11
11,Ulug'bek,25,Erkak,9.98335E+11
12,Sardor,45,Erkak,9.98977E+11
13,Sardor,24,Erkak,9.98973E+11
14,Malika,54,Ayol,9.9834E+11
15,Ulug'bek,19,Erkak,9.98901E+11
16,Ali,58,Erkak,9.98333E+11
17,Malika,57,Ayol,9.98331E+11
18,Dilnoza,54,Ayol,9.98906E+11
19,Bekzod,18,Erkak,9.98907E+11
20,Nargiza,39,Ayol,9.98903E+11
21,Bekzod,27,Erkak,9.98908E+11
22,Sitora,42,Ayol,9.98902E+11
23,Kamol,30,Erkak,9.98905E+11
24,Sardor,39,Erkak,9.98971E+11
25,Sherzod,23,Erkak,9.98908E+11
26,Sherzod,56,Erkak,9.98332E+11
27,Malika,62,Ayol,9.98339E+11
28,Nigora,54,Ayol,9.98339E+11
29,Sherzod,25,Erkak,9.98905E+11
30,Shahnoza,24,Ayol,9.98975E+11
31,Kamol,27,Erkak,9.9891E+11
32,Javlon,20,Erkak,9.98338E+11
33,Bekzod,21,Erkak,9.98975E+11
34,Sardor,19,Erkak,9.98979E+11
35,Ulug'bek,26,Erkak,9.98335E+11
36,Nargiza,29,Ayol,9.98333E+11
37,Nigora,35,Ayol,9.98901E+11
38,Shahnoza,31,Ayol,9.9898E+11
39,Nigora,45,Ayol,9.98973E+11
40,Sherzod,55,Erkak,9.98337E+11
41,Malika,50,Ayol,9.98908E+11
42,Aziz,61,Erkak,9.98903E+11
43,Zilola,20,Ayol,9.9891E+11
44,Aziz,35,Erkak,9.98977E+11
45,Sardor,35,Erkak,9.98331E+11
46,Nigora,23,Ayol,9.98909E+11
47,Nigora,28,Ayol,9.98901E+11
48,Aziz,41,Erkak,9.98334E+11
49,Sardor,37,Erkak,9.98971E+11
50,Sherzod,20,Erkak,9.98906E+11
51,Malika,35,Ayol,9.98972E+11
52,Dilnoza,46,Ayol,9.98908E+11
53,Shahzod,49,Erkak,9.98901E+11
54,Javlon,64,Erkak,9.98973E+11
55,Kamol,20,Erkak,9.98975E+11
56,Bekzod,63,Erkak,9.98338E+11
57,Shahnoza,65,Ayol,9.98978E+11
58,Ulug'bek,41,Erkak,9.98333E+11
59,Javlon,53,Erkak,9.98976E+11
60,Sitora,51,Ayol,9.98979E+11
61,Kamol,25,Erkak,9.98972E+11
62,Malika,41,Ayol,9.98978E+11
63,Ulug'bek,52,Erkak,9.98974E+11
64,Nargiza,45,Ayol,9.98339E+11
65,Zilola,47,Ayol,9.98331E+11
66,Dilnoza,23,Ayol,9.98334E+11
67,Kamol,65,Erkak,9.9898E+11
68,Aziz,36,Erkak,9.98903E+11
69,Shahnoza,42,Ayol,9.98974E+11
70,Javlon,32,Erkak,9.98908E+11
71,Shahnoza,30,Ayol,9.98971E+11
72,Zilola,61,Ayol,9.98973E+11
73,Nargiza,27,Ayol,9.9834E+11
74,Bekzod,42,Erkak,9.98903E+11
75,Ali,58,Erkak,9.98338E+11
76,Zilola,31,Ayol,9.98975E+11
77,Zilola,35,Ayol,9.98979E+11
78,Malika,60,Ayol,9.98338E+11
79,Aziz,32,Erkak,9.98902E+11
80,Sherzod,54,Erkak,9.98975E+11
81,Sardor,55,Erkak,9.98337E+11
82,Dilnoza,43,Ayol,9.98334E+11
83,Nigora,38,Ayol,9.98338E+11
84,Ali,27,Erkak,9.9898E+11
85,Sherzod,57,Erkak,9.98972E+11
86,Nigora,41,Ayol,9.98975E+11
87,Zilola,57,Ayol,9.98975E+11
88,Ulug'bek,45,Erkak,9.98977E+11
89,Aziz,32,Erkak,9.98975E+11
90,Shahnoza,20,Ayol,9.98978E+11
91,Shahnoza,22,Ayol,9.98973E+11
92,Sherzod,59,Erkak,9.98971E+11
93,Zilola,61,Ayol,9.98338E+11
94,Javlon,44,Erkak,9.98974E+11
95,Malika,46,Ayol,9.98339E+11
96,Kamol,34,Erkak,9.98338E+11
97,Dilnoza,39,Ayol,9.98336E+11
98,Shahzod,56,Erkak,9.98909E+11
99,Zilola,44,Ayol,9.98979E+11
100,Javlon,22,Erkak,9.98975E+11
101,Nargiza,64,Ayol,9.98979E+11
102,Sitora,51,Ayol,9.98905E+11
103,Shahzod,44,Erkak,9.98974E+11
104,Sitora,35,Ayol,9.98336E+11
105,Sardor,38,Erkak,9.98334E+11
106,Zilola,21,Ayol,9.98905E+11
107,Mehriniso,44,Ayol,9.98972E+11
108,Bekzod,53,Erkak,9.98974E+11
109,Sardor,46,Erkak,9.98973E+11
110,Kamol,30,Erkak,9.98336E+11
111,Zilola,49,Ayol,9.98334E+11
112,Nigora,36,Ayol,9.98339E+11
113,Ali,35,Erkak,9.9898E+11
114,Sitora,30,Ayol,9.98901E+11
115,Shahnoza,43,Ayol,9.98977E+11
116,Dilnoza,56,Ayol,9.98972E+11
117,Nigora,20,Ayol,9.98339E+11
118,Dilnoza,28,Ayol,9.98975E+11
119,Sitora,55,Ayol,9.98972E+11
120,Sherzod,65,Erkak,9.98335E+11
121,Ali,49,Erkak,9.98336E+11
122,Sitora,37,Ayol,9.98972E+11
123,Nargiza,21,Ayol,9.98976E+11
124,Sardor,61,Erkak,9.98977E+11
125,Mehriniso,42,Ayol,9.98903E+11
126,Aziz,45,Erkak,9.98906E+11
127,Dilnoza,63,Ayol,9.98976E+11
128,Kamol,61,Erkak,9.98905E+11
129,Nigora,29,Ayol,9.98973E+11
130,Sardor,54,Erkak,9.98905E+11
131,Aziz,46,Erkak,9.98337E+11
132,Nargiza,65,Ayol,9.98902E+11
133,Bekzod,43,Erkak,9.98975E+11
134,Shahnoza,23,Ayol,9.98906E+11
135,Zilola,47,Ayol,9.98902E+11
136,Zilola,48,Ayol,9.98971E+11
137,Sherzod,30,Erkak,9.98337E+11
138,Zilola,59,Ayol,9.98907E+11
139,Sardor,40,Erkak,9.98333E+11
140,Sitora,23,Ayol,9.98977E+11
141,Mehriniso,41,Ayol,9.98976E+11
142,Zilola,56,Ayol,9.98904E+11
143,Zilola,18,Ayol,9.98338E+11
144,Malika,60,Ayol,9.98906E+11
145,Mehriniso,61,Ayol,9.98974E+11
146,Javlon,33,Erkak,9.98979E+11
147,Shahnoza,20,Ayol,9.98334E+11
148,Kamol,61,Erkak,9.9834E+11
149,Kamol,28,Erkak,9.98334E+11
150,Aziz,22,Erkak,9.98333E+11
151,Mehriniso,58,Ayol,9.98338E+11
152,Javlon,63,Erkak,9.98334E+11
153,Zilola,52,Ayol,9.98902E+11
154,Shahzod,34,Erkak,9.98974E+11
155,Zilola,42,Ayol,9.98971E+11
156,Ulug'bek,63,Erkak,9.98978E+11
157,Sardor,29,Erkak,9.98902E+11
158,Ulug'bek,52,Erkak,9.98902E+11
159,Bekzod,62,Erkak,9.98976E+11
160,Javlon,30,Erkak,9.98904E+11
161,Ali,64,Erkak,9.98337E+11
162,Shahnoza,52,Ayol,9.98902E+11
163,Javlon,25,Erkak,9.98334E+11
164,Sitora,49,Ayol,9.98334E+11
165,Sitora,39,Ayol,9.98908E+11
166,Sardor,59,Erkak,9.98972E+11
167,Javlon,65,Erkak,9.9891E+11
168,Bekzod,56,Erkak,9.98331E+11
169,Mehriniso,20,Ayol,9.9834E+11
170,Nargiza,22,Ayol,9.98974E+11
171,Dilnoza,20,Ayol,9.98902E+11
172,Nargiza,45,Ayol,9.98907E+11
173,Shahnoza,26,Ayol,9.98902E+11
174,Shahzod,44,Erkak,9.98335E+11
175,Zilola,49,Ayol,9.98903E+11
176,Bekzod,55,Erkak,9.98334E+11
177,Javlon,61,Erkak,9.9891E+11
178,Javlon,25,Erkak,9.98976E+11
179,Bekzod,59,Erkak,9.98334E+11
180,Nigora,31,Ayol,9.98902E+11
181,Aziz,20,Erkak,9.98976E+11
182,Ulug'bek,54,Erkak,9.98332E+11
183,Dilnoza,40,Ayol,9.98338E+11
184,Sitora,38,Ayol,9.98976E+11
185,Bekzod,44,Erkak,9.98971E+11
186,Zilola,55,Ayol,9.98979E+11
187,Javlon,25,Erkak,9.98332E+11
188,Shahnoza,65,Ayol,9.98908E+11
189,Javlon,55,Erkak,9.98339E+11
190,Kamol,56,Erkak,9.9891E+11
191,Nigora,40,Ayol,9.98333E+11
192,Ali,31,Erkak,9.98339E+11
193,Shahnoza,18,Ayol,9.98973E+11
194,Nigora,61,Ayol,9.98972E+11
195,Dilnoza,52,Ayol,9.98903E+11
196,Aziz,60,Erkak,9.98974E+11
197,Javlon,49,Erkak,9.98973E+11
198,Malika,24,Ayol,9.98333E+11
199,Zilola,59,Ayol,9.98335E+11
200,Kamol,31,Erkak,9.98337E+11
201,Shahzod,29,Erkak,9.98333E+11
